Week,Alf_Sales,Alf_Adv,All_Sales,Other_Adv
1,2170787,11900,3710113,2000
2,1994291,14900,3369873,0
3,2166222,46700,3432998,0
4,1938123,400,3340440,500
5,2053371,38900,3260872,2500
6,2119078,900,3608784,0
7,2305125,13200,3977783,6000
8,2100002,1700,3756040,15000
9,2168744,3800,3743732,0
10,2409430,32200,3930555,0
11,2485483,6800,4307596,0
12,1829660,3000,3146449,0
13,2197068,900,3967259,18000
14,2484308,2200,4246680,0
15,1899743,17600,3186419,5000
16,2440601,24400,4042738,0
17,2362137,15700,3943467,0
18,1898388,31900,3079799,0
19,1810179,28600,2923416,2000
20,2356949,13000,3961925,0
21,2255798,29000,3683537,0
22,2168937,12200,3818551,22000
23,2282578,19000,3801129,0
24,2061262,8000,3454436,0
25,1680685,10900,2819941,0
26,2266506,9800,3897689,2500
