"","Candidate.Ref","DOJ.Extended","Duration.to.accept.offer","Notice.period","Offered.band","Pecent.hike.expected.in.CTC","Percent.hike.offered.in.CTC","Percent.difference.CTC","X","Joining.Bonus","Candidate.relocate.actual","Gender","Candidate.Source","Rex.in.Yrs","LOB","Location","Age","Status"
"1",2284372,"No",-228,0,"E1",35.71,-15.71,-37.89,,"No","No","Male","Direct",2,"ERS","Noida",24,"Not Joined"
"2",2206905,"Yes",-29,45,"E1",,,,,"No","Yes","Female","Employee Referral",4,"ERS","Noida",27,"Joined"
"3",2224341,"Yes",-24,0,"E1",,,,,"No","Yes","Male","Direct",4,"ERS","Hyderabad",31,"Joined"
"4",2233690,"No",-1,90,"E1",-11.11,-11.11,0,,"No","No","Male","Employee Referral",2,"INFRA","Gurgaon",26,"Joined"
"5",3225493,"No",-1,30,"E2",241.67,150,-26.83,,"No","No","Male","Direct",20,"AXON","Chennai",62,"Not Joined"
"6",2176933,"No",-1,30,"E1",-4,-4,0,,"No","No","Female","Direct",2,"INFRA","Noida",25,"Joined"
"7",2211046,"No",-1,90,"E1",47.83,47.83,0,,"Yes","No","Male","Direct",3,"Healthcare","Bangalore",28,"Joined"
"8",2219238,"No",-1,0,"E2",87.5,87.5,0,,"No","Yes","Male","Direct",7,"INFRA","Noida",46,"Joined"
"9",2243610,"No",-1,0,"E2",28.57,28.57,0,,"No","Yes","Male","Employee Referral",8,"INFRA","Noida",29,"Joined"
"10",2284083,"No",-1,30,"E1",20,32,10,,"No","No","Male","Agency",2,"INFRA","Noida",21,"Joined"
"11",2284089,"No",-1,30,"E2",25,25,0,,"No","No","Male","Employee Referral",7,"INFRA","Noida",38,"Joined"
"12",2556209,"Yes",-1,30,"E1",66.67,124.54,34.72,,"No","No","Male","Agency",2,"INFRA","Noida",25,"Joined"
"13",2599095,"No",-1,30,"E2",20,26.67,5.56,,"No","No","Male","Employee Referral",2,"INFRA","Bangalore",26,"Joined"
"14",2814498,"No",-1,45,"E2",19.05,9.52,-8,,"No","No","Male","Employee Referral",7,"CSMP","Bangalore",33,"Not Joined"
"15",2860294,"Yes",-1,30,"E1",-10,-10,0,,"No","No","Male","Employee Referral",3,"INFRA","Mumbai",27,"Joined"
"16",3221144,"Yes",-1,30,"E1",13.79,,,,"Yes","No","Male","Direct",3,"BFSI","Gurgaon",28,"Not Joined"
"17",3347651,"No",-1,45,"E1",40.85,40.85,0,,"No","Yes","Female","Employee Referral",3,"Healthcare","Noida",34,"Joined"
"18",3439006,"No",-1,30,"E1",20,68,40,,"No","Yes","Male","Direct",2,"INFRA","Chennai",34,"Joined"
"19",3607007,"No",-1,0,"E1",44.51,44.51,0,,"No","No","Female","Direct",4,"INFRA","Bangalore",34,"Joined"
"20",2184108,"No",0,30,"E1",37.5,37.5,0,,"No","No","Female","Employee Referral",3,"ERS","Chennai",30,"Joined"
"21",2211699,"Yes",0,0,"E2",23.08,15.38,-6.25,,"No","No","Male","Employee Referral",6,"BFSI","Chennai",34,"Not Joined"
"22",2221643,"No",0,30,"E3",-14.91,-14.91,0,,"No","Yes","Male","Employee Referral",15,"INFRA","Noida",44,"Joined"
"23",2224425,"No",0,0,"E3",89.58,89.58,0,,"No","No","Male","Direct",20,"ERS","Bangalore",44,"Joined"
"24",2225685,"No",0,0,"E3",7.69,-5.79,-12.52,,"No","No","Male","Employee Referral",13,"INFRA","Noida",41,"Joined"
"25",2286467,"No",0,90,"E1",33.5,28.64,-3.64,,"No","No","Male","Employee Referral",3,"AXON","Noida",26,"Joined"
"26",2328443,"No",0,30,"E3",246.94,206.12,-11.76,,"No","No","Male","Direct",10,"ERS","Chennai",33,"Joined"
"27",2351625,"Yes",0,30,"E2",22.73,15.45,-5.93,,"No","No","Male","Agency",8,"EAS","Chennai",37,"Joined"
"28",2352045,"No",0,30,"E1",-10.89,9.14,22.47,,"No","No","Male","Direct",1,"INFRA","Noida",25,"Joined"
"29",2352237,"No",0,0,"E1",11.11,-16.67,-25,,"No","No","Female","Direct",1,"INFRA","Noida",24,"Joined"
"30",2354362,"Yes",0,0,"E1",11.11,-16.67,-25,,"No","No","Female","Direct",1,"INFRA","Noida",23,"Joined"
"31",2368400,"No",0,30,"E1",-6.25,-6.25,0,,"No","No","Male","Direct",0,"ETS","Chennai",32,"Joined"
"32",2378003,"No",0,30,"E1",25,62.5,30,,"No","No","Male","Direct",2,"ERS","Bangalore",27,"Joined"
"33",2378829,"No",0,30,"E2",42.86,42.86,0,,"No","No","Male","Direct",3,"INFRA","Bangalore",29,"Joined"
"34",2538533,"No",0,30,"E2",35.54,,,,"No","No","Female","Direct",7,"EAS","Bangalore",30,"Not Joined"
"35",2600880,"No",0,30,"E3",80.95,52.38,-15.79,,"No","No","Male","Employee Referral",13,"BFSI","Bangalore",37,"Joined"
"36",2786502,"No",0,30,"E2",30.26,35.26,3.84,,"No","No","Male","Direct",6,"INFRA","Noida",34,"Joined"
"37",2794614,"No",0,30,"E2",72.41,72.41,0,,"No","No","Male","Agency",4,"INFRA","Bangalore",32,"Joined"
"38",2819712,"Yes",0,30,"E2",15.38,15.38,0,,"No","No","Male","Direct",10,"EAS","Bangalore",36,"Joined"
"39",2828770,"No",0,30,"E2",42.85,42.85,0,,"No","No","Male","Employee Referral",4,"INFRA","Chennai",26,"Joined"
"40",2834484,"Yes",0,30,"E1",-12,-12,0,,"No","No","Male","Agency",1,"INFRA","Gurgaon",24,"Joined"
"41",2861873,"No",0,30,"E2",-36.36,-36.36,0,,"No","No","Male","Direct",9,"AXON","Chennai",32,"Not Joined"
"42",3034980,"No",0,30,"E2",36.36,60,17.33,,"No","No","Male","Direct",6,"INFRA","Bangalore",32,"Not Joined"
"43",3238748,"No",0,90,"E3",-21.54,-21.54,0,,"No","No","Male","Direct",13,"ERS","Chennai",40,"Joined"
"44",3283933,"No",0,30,"E1",50,50,0,,"No","No","Male","Employee Referral",4,"BFSI","Bangalore",26,"Joined"
"45",3290646,"No",0,30,"E2",100,200,50,,"No","No","Male","Direct",2,"INFRA","Noida",34,"Not Joined"
"46",3318393,"Yes",0,30,"E1",92.54,80.51,-6.25,,"No","No","Male","Direct",3,"INFRA","Others",23,"Joined"
"47",3327789,"No",0,30,"E2",200,180,-6.67,,"No","No","Male","Employee Referral",2,"INFRA","Noida",24,"Joined"
"48",3351261,"No",0,0,"E2",33.33,266.67,175,,"No","No","Male","Direct",8,"INFRA","Chennai",34,"Not Joined"
"49",3377286,"No",0,30,"E1",76.47,76.47,0,,"No","No","Male","Direct",2,"ERS","Noida",23,"Joined"
"50",3425046,"No",0,0,"E1",-33.33,-23.81,14.29,,"Yes","Yes","Female","Direct",4,"ERS","Chennai",27,"Joined"
"51",3619135,"Yes",0,60,"E1",41.3,21.74,-13.85,,"No","No","Female","Direct",4,"BFSI","Chennai",28,"Joined"
"52",3649761,"Yes",0,0,"E2",37.95,37.95,0,,"Yes","No","Male","Employee Referral",8,"ETS","Noida",36,"Joined"
"53",2113310,"No",0,0,"E2",30.83,30.83,0,,"No","Yes","Male","Direct",9,"INFRA","Noida",31,"Joined"
"54",2113315,"No",0,0,"E2",29.23,29.23,0,,"No","Yes","Male","Direct",11,"INFRA","Noida",34,"Joined"
"55",2118473,"No",0,30,"E2",37.5,66.67,21.21,,"No","Yes","Male","Employee Referral",2,"INFRA","Noida",25,"Joined"
"56",2118610,"No",0,0,"E2",16.72,31.31,12.5,,"No","No","Male","Direct",5,"INFRA","Bangalore",38,"Joined"
"57",2118630,"No",0,30,"E1",47.42,47.42,0,,"No","Yes","Male","Direct",2,"INFRA","Noida",24,"Joined"
"58",2118805,"No",0,30,"E1",9.76,9.76,0,,"No","No","Male","Direct",3,"CSMP","Noida",26,"Joined"
"59",2119999,"Yes",0,45,"E1",,,,,"No","No","Male","Direct",2,"INFRA","Mumbai",27,"Not Joined"
"60",2120791,"No",0,30,"E3",0,-3.79,-3.79,,"No","No","Male","Direct",12,"INFRA","Noida",36,"Joined"
"61",2122706,"No",0,90,"E3",28.97,28.97,0,,"No","No","Male","Direct",7,"INFRA","Chennai",34,"Joined"
"62",2123913,"No",0,0,"E2",25,-12.5,-30,,"No","Yes","Male","Direct",6,"INFRA","Noida",32,"Joined"
"63",2126303,"Yes",0,30,"E1",24.61,24.61,0,,"No","No","Male","Direct",3,"CSMP","Noida",26,"Joined"
"64",2128352,"No",0,0,"E2",28.42,43.84,12,,"No","Yes","Male","Direct",7,"INFRA","Noida",32,"Joined"
"65",2133665,"No",0,0,"E2",77.78,77.78,0,,"No","Yes","Male","Direct",3,"INFRA","Bangalore",26,"Joined"
"66",2134381,"No",0,0,"E2",42.86,19.85,-16.11,,"Yes","No","Male","Employee Referral",5,"INFRA","Chennai",31,"Not Joined"
"67",2136919,"No",0,60,"E2",,,,,"No","No","Male","Direct",9,"ERS","Chennai",34,"Not Joined"
"68",2143355,"No",0,30,"E1",50,50,0,,"No","Yes","Male","Direct",4,"ERS","Chennai",27,"Joined"
"69",2143448,"No",0,30,"E2",57.14,14.29,-27.27,,"No","Yes","Male","Direct",6,"INFRA","Noida",31,"Joined"
"70",2143666,"No",0,60,"E1",71.05,,,,"No","No","Female","Direct",5,"BFSI","Bangalore",28,"Not Joined"
"71",2144343,"No",0,60,"E2",41.53,65.12,16.67,,"No","No","Male","Direct",4,"INFRA","Noida",26,"Joined"
"72",2148336,"No",0,0,"E2",37.59,37.59,0,,"No","No","Male","Direct",4,"INFRA","Chennai",31,"Joined"
"73",2149106,"No",0,0,"E1",46.67,60,9.09,,"No","No","Male","Employee Referral",2,"INFRA","Noida",30,"Joined"
"74",2149123,"No",0,0,"E1",66.67,44,-13.6,,"No","No","Male","Employee Referral",2,"INFRA","Noida",25,"Joined"
"75",2149768,"No",0,0,"E2",33.61,33.61,0,,"No","No","Male","Employee Referral",3,"INFRA","Noida",26,"Joined"
"76",2154979,"No",0,0,"E3",28.17,28.17,0,,"No","No","Male","Direct",7,"INFRA","Bangalore",39,"Joined"
"77",2155052,"No",0,0,"E3",25.56,44.46,15.05,,"No","No","Male","Employee Referral",8,"INFRA","Chennai",33,"Joined"
"78",2156448,"Yes",0,30,"E2",34.74,84.21,36.72,,"No","No","Male","Employee Referral",2,"INFRA","Noida",26,"Joined"
"79",2158843,"No",0,90,"E2",32.74,37.17,3.33,,"No","No","Male","Employee Referral",5,"INFRA","Noida",41,"Joined"
"80",2159838,"No",0,0,"E2",41.79,37.74,-2.86,,"No","No","Male","Direct",5,"INFRA","Chennai",31,"Joined"
"81",2160044,"No",0,0,"E2",17.78,14.31,-2.94,,"Yes","No","Male","Agency",9,"INFRA","Gurgaon",38,"Joined"
"82",2161504,"No",0,0,"E2",66.67,8.33,-35,,"No","Yes","Male","Direct",6,"INFRA","Noida",33,"Joined"
