"","ID","Profit9","Online9","Age9","Inc9","Tenure9","District9","Profit0","Online0","Billpay9","Billpay0","fDistrict9","NAge","AgeImpt","MissingAge","NInc","IncImpt","MissingInc","D1100","D1200"
"1",1,21,0,NA,NA,6.33,1200,NA,NA,0,NA,"1200",4.04604840436924,3.72406332698993,1,5.45877722158046,5.59475015379888,1,0,1
"2",2,-6,0,6,3,29.5,1200,-32,0,0,0,"1200",6,6,0,3,3,0,0,1
"3",3,-49,1,5,5,26.41,1100,-22,1,0,0,"1100",5,5,0,5,5,0,1,0
"4",4,-4,0,NA,NA,2.25,1200,NA,NA,0,NA,"1200",4.04604840436924,3.39920794942844,1,5.45877722158046,5.53438446002679,1,0,1
"5",5,-61,0,2,9,9.91,1200,-4,0,0,0,"1200",2,2,0,9,9,0,0,1
"6",6,-38,0,NA,3,2.33,1300,14,0,0,0,"1300",4.04604840436924,3.48460713844482,1,3,3,0,0,0
"7",7,-19,0,3,1,8.41,1300,0,0,0,0,"1300",3,3,0,1,1,0,0,0
"8",8,59,0,5,8,7.33,1200,-65,0,0,0,"1200",5,5,0,8,8,0,0,1
"9",9,493,0,4,9,15.33,1200,855,0,0,0,"1200",4,4,0,9,9,0,0,1
"10",10,-158,0,6,8,4.33,1100,-20,0,0,0,"1100",6,6,0,8,8,0,1,0
"11",11,395,0,6,3,13.5,1200,67,0,0,0,"1200",6,6,0,3,3,0,0,1
"12",12,-62,0,6,1,6.25,1200,-60,0,0,0,"1200",6,6,0,1,1,0,0,1
"13",13,-124,0,7,6,17.41,1200,-128,0,0,0,"1200",7,7,0,6,6,0,0,1
"14",14,32,0,NA,NA,0.58,1200,NA,NA,0,NA,"1200",4.04604840436924,3.26624018459323,1,5.45877722158046,5.50967595301713,1,0,1
"15",15,-28,0,4,9,14.66,1200,71,1,0,1,"1200",4,4,0,9,9,0,0,1
"16",16,632,0,4,7,26.66,1100,808,0,0,0,"1100",4,4,0,7,7,0,1,0
"17",17,-135,1,3,8,9,1200,-120,0,0,0,"1200",3,3,0,8,8,0,0,1
"18",18,-60,0,NA,5,9.41,1200,-60,0,0,0,"1200",4.04604840436924,3.96929728848243,1,5,5,0,0,1
"19",19,-92,0,3,7,4.16,1200,-80,0,0,0,"1200",3,3,0,7,7,0,0,1
"20",20,68,0,4,8,22.16,1200,1,0,0,0,"1200",4,4,0,8,8,0,0,1
"21",21,26,0,4,7,8.66,1300,224,0,0,0,"1300",4,4,0,7,7,0,0,0
"22",22,-28,0,NA,NA,2.41,1200,NA,NA,0,NA,"1200",4.04604840436924,3.41194737599948,1,5.45877722158046,5.5367517421355,1,0,1
"23",23,-6,0,3,4,4.75,1200,-22,1,0,1,"1200",3,3,0,4,4,0,0,1
"24",24,43,0,NA,NA,6.83,1100,42,0,0,0,"1100",4.04604840436924,4.07610440636204,1,5.45877722158046,4.10445091594402,1,1,0
"25",25,698,0,4,6,18.91,1300,680,0,0,0,"1300",4,4,0,6,6,0,0,0
"26",26,-50,0,NA,NA,1.66,1200,NA,NA,0,NA,"1200",4.04604840436924,3.35223131394774,1,5.45877722158046,5.52565510725092,1,0,1
"27",27,-27,0,4,6,8.66,1200,-33,0,0,0,"1200",4,4,0,6,6,0,0,1
"28",28,-14,1,NA,NA,6.33,1200,NA,NA,1,NA,"1200",4.04604840436924,3.16366420013834,1,5.45877722158046,6.42908249385684,1,0,1
"29",29,-36,0,NA,NA,4.83,1200,NA,NA,0,NA,"1200",4.04604840436924,3.60463120288644,1,5.45877722158046,5.57255688402973,1,0,1
"30",30,14,1,4,3,22.5,1300,NA,NA,0,NA,"1300",4,4,0,3,3,0,0,0
"31",31,-18,0,6,7,8.41,1200,-21,0,0,0,"1200",6,6,0,7,7,0,0,1
"32",32,-130,0,5,8,6.25,1200,-112,0,0,0,"1200",5,5,0,8,8,0,0,1
"33",33,-71,0,7,3,14.08,1200,-28,0,0,0,"1200",7,7,0,3,3,0,0,1
"34",34,291,0,4,6,29.5,1200,614,0,0,0,"1200",4,4,0,6,6,0,0,1
"35",35,7,0,4,NA,5,1200,-19,0,0,0,"1200",4,4,0,5.45877722158046,5.57507212127023,1,0,1
"36",36,-32,0,2,1,2.5,1200,1,0,0,0,"1200",2,2,0,1,1,0,0,1
"37",37,533,0,NA,NA,31.83,1200,NA,NA,0,NA,"1200",4.04604840436924,5.75440943674924,1,5.45877722158046,5.97203573987445,1,0,1
"38",38,88,0,4,7,8.58,1200,7,0,0,0,"1200",4,4,0,7,7,0,0,1
"39",39,-162,0,NA,NA,4.33,1200,-83,0,0,0,"1200",4.04604840436924,3.56482049485195,1,5.45877722158046,5.56515912744001,1,0,1
"40",40,900,0,2,6,6.58,1200,534,0,0,0,"1200",2,2,0,6,6,0,0,1
"41",41,383,0,NA,NA,13.83,1200,NA,NA,0,NA,"1200",4.04604840436924,4.32122394750738,1,5.45877722158046,5.70571650264464,1,0,1
"42",42,-95,1,4,4,20.41,1300,-111,1,0,0,"1300",4,4,0,4,4,0,0,0
"43",43,88,1,4,7,17.91,1200,-116,1,0,0,"1200",4,4,0,7,7,0,0,1
"44",44,-49,0,2,7,6.16,1200,259,0,0,0,"1200",2,2,0,7,7,0,0,1
"45",45,-8,0,NA,NA,2.5,1200,-31,0,0,0,"1200",4.04604840436924,3.41911330344569,1,5.45877722158046,5.53808333832165,1,0,1
"46",46,32,0,5,6,8.75,1200,63,0,0,0,"1200",5,5,0,6,6,0,0,1
"47",47,259,0,NA,NA,0.16,1200,795,0,0,0,"1200",4.04604840436924,3.23279918984425,1,5.45877722158046,5.50346183748177,1,0,1
"48",48,512,0,6,9,1.16,1200,-45,0,0,0,"1200",6,6,0,9,9,0,0,1
"49",49,-27,0,NA,NA,1.66,1200,NA,NA,0,NA,"1200",4.04604840436924,3.35223131394774,1,5.45877722158046,5.52565510725092,1,0,1
"50",50,-1,0,NA,NA,40,1100,37,0,0,0,"1100",4.04604840436924,6.71714677737052,1,5.45877722158046,4.59521808810586,1,1,0
"51",51,313,0,4,7,8.75,1200,258,0,0,0,"1200",4,4,0,7,7,0,0,1
"52",52,205,0,7,3,19.16,1200,136,0,0,0,"1200",7,7,0,3,3,0,0,1
"53",53,5,1,NA,NA,0.75,1100,NA,NA,0,NA,"1100",4.04604840436924,2.93745663024584,1,5.45877722158046,4.46602937856436,1,1,0
"54",54,367,0,5,7,7.33,1200,387,0,0,0,"1200",5,5,0,7,7,0,0,1
"55",55,-48,1,2,6,6.58,1300,-45,1,0,0,"1300",2,2,0,6,6,0,0,0
"56",56,97,0,5,3,29,1200,141,0,0,0,"1200",5,5,0,3,3,0,0,1
"57",57,316,0,6,6,22.41,1300,336,0,0,0,"1300",6,6,0,6,6,0,0,0
"58",58,-44,0,NA,NA,6.25,1100,827,1,0,0,"1100",4.04604840436924,4.02992398504202,1,5.45877722158046,4.09586951829995,1,1,0
"59",59,-27,0,4,9,15.08,1200,-27,0,0,0,"1200",4,4,0,9,9,0,0,1
"60",60,6,0,5,7,32.08,1200,-26,0,0,0,"1200",5,5,0,7,7,0,0,1
"61",61,-13,0,3,6,6.91,1200,733,0,0,0,"1200",3,3,0,6,6,0,0,1
"62",62,-43,0,NA,NA,1.25,1300,NA,NA,0,NA,"1300",4.04604840436924,3.39861600909031,1,5.45877722158046,4.55732377541437,1,0,0
"63",63,362,0,NA,NA,0.41,1200,231,0,0,0,"1200",4.04604840436924,3.2527045438615,1,5.45877722158046,5.50716071577663,1,0,1
"64",64,7,0,NA,NA,8.41,1200,-9,0,0,0,"1200",4.04604840436924,3.88967587241344,1,5.45877722158046,5.6255248212121,1,0,1
"65",65,-67,0,3,1,3.75,1100,-105,0,0,0,"1100",3,3,0,1,1,0,1,0
"66",66,-34,0,4,6,2.83,1200,NA,NA,0,NA,"1200",4,4,0,6,6,0,0,1
"67",67,191,1,NA,NA,3.33,1300,NA,NA,0,NA,"1300",4.04604840436924,2.90967898809709,1,5.45877722158046,5.03963362557889,1,0,0
"68",68,-30,0,NA,NA,5.41,1200,-31,0,0,0,"1200",4.04604840436924,3.65081162420646,1,5.45877722158046,5.5811382816738,1,0,1
"69",69,277,0,7,3,15.08,1200,54,0,0,0,"1200",7,7,0,3,3,0,0,1
"70",70,4,0,NA,NA,1.25,1300,21,0,0,0,"1300",4.04604840436924,3.39861600909031,1,5.45877722158046,4.55732377541437,1,0,0
"71",71,16,1,5,8,6.75,1200,64,1,0,0,"1200",5,5,0,8,8,0,0,1
"72",72,703,1,4,9,10.25,1200,156,1,0,1,"1200",4,4,0,9,9,0,0,1
"73",73,-36,0,3,6,7.66,1200,82,1,0,0,"1200",3,3,0,6,6,0,0,1
"74",74,238,1,6,9,29.41,1200,249,1,0,0,"1200",6,6,0,9,9,0,0,1
"75",75,-47,0,NA,NA,4.16,1200,14,0,0,0,"1200",4.04604840436924,3.55128485412022,1,5.45877722158046,5.56264389019951,1,0,1
"76",76,220,0,7,3,2.5,1300,-19,0,0,0,"1300",7,7,0,3,3,0,0,0
"77",77,-213,0,4,6,11.66,1100,-143,1,0,0,"1100",4,4,0,6,6,0,1,0
"78",78,-41,0,4,6,6.16,1100,0,0,0,0,"1100",4,4,0,6,6,0,1,0
"79",79,253,0,4,6,3.91,1200,121,0,0,0,"1200",4,4,0,6,6,0,0,1
"80",80,-29,0,1,1,6.41,1200,-2,0,0,0,"1200",1,1,0,1,1,0,0,1
"81",81,-126,0,5,9,2.58,1200,-40,0,0,0,"1200",5,5,0,9,9,0,0,1
"82",82,-38,0,NA,NA,7.75,1200,NA,NA,0,NA,"1200",4.04604840436924,3.8371257378079,1,5.45877722158046,5.61575978251367,1,0,1
"83",83,83,0,2,5,5.16,1200,408,1,0,0,"1200",2,2,0,5,5,0,0,1
"84",84,73,0,3,6,4.66,1200,99,0,0,0,"1200",3,3,0,6,6,0,0,1
"85",85,-5,0,3,8,1.5,1200,9,1,0,1,"1200",3,3,0,8,8,0,0,1
"86",86,380,0,3,7,7.08,1200,212,0,0,0,"1200",3,3,0,7,7,0,0,1
"87",87,-56,0,6,1,34.5,1200,95,0,0,0,"1200",6,6,0,1,1,0,0,1
"88",88,51,0,5,9,11.08,1200,64,0,0,0,"1200",5,5,0,9,9,0,0,1
"89",89,56,0,6,7,4.58,1200,22,0,0,0,"1200",6,6,0,7,7,0,0,1
"90",90,-90,1,2,7,3.75,1200,-4,1,0,0,"1200",2,2,0,7,7,0,0,1
"91",91,-69,0,7,6,10.08,1100,-71,0,0,0,"1100",7,7,0,6,6,0,1,0
"92",92,-131,1,6,6,6.5,1200,-58,1,1,0,"1200",6,6,0,6,6,0,0,1
"93",93,-141,0,7,9,33.5,1200,10,0,0,0,"1200",7,7,0,9,9,0,0,1
"94",94,-48,0,4,6,10.25,1300,-63,0,0,0,"1300",4,4,0,6,6,0,0,0
"95",95,-66,0,4,6,8.83,1200,39,0,0,0,"1200",4,4,0,6,6,0,0,1
"96",96,-6,0,4,1,5.5,1300,236,1,0,1,"1300",4,4,0,1,1,0,0,0
"97",97,-65,0,NA,NA,5.08,1200,-29,0,0,0,"1200",4.04604840436924,3.62453655690369,1,5.45877722158046,5.57625576232459,1,0,1
"98",98,318,0,4,9,21.41,1200,327,0,0,0,"1200",4,4,0,9,9,0,0,1
"99",99,768,0,4,4,10.66,1200,725,0,0,0,"1200",4,4,0,4,4,0,0,1
"100",100,-24,0,NA,NA,5.91,1200,-17,0,0,0,"1200",4.04604840436924,3.69062233224096,1,5.45877722158046,5.58853603826352,1,0,1
"101",101,19,0,2,4,7.5,1200,NA,NA,0,NA,"1200",2,2,0,4,4,0,0,1
"102",102,208,0,3,6,6.75,1100,44,0,0,0,"1100",3,3,0,6,6,0,1,0
"103",103,-83,0,5,7,6.83,1200,NA,NA,0,NA,"1200",5,5,0,7,7,0,0,1
"104",104,36,0,NA,NA,24,1200,47,0,0,0,"1200",4.04604840436924,5.13097374892903,1,5.45877722158046,5.85618687167948,1,0,1
"105",105,295,0,7,3,20.58,1100,61,0,0,0,"1100",7,7,0,3,3,0,1,0
"106",106,10,0,NA,NA,2,1200,NA,NA,0,NA,"1200",4.04604840436924,3.3793025954112,1,5.45877722158046,5.53068558173193,1,0,1
"107",107,46,0,4,3,5.58,1200,506,0,0,0,"1200",4,4,0,3,3,0,0,1
"108",108,671,0,NA,NA,12.66,1200,262,0,0,0,"1200",4.04604840436924,4.22806689070666,1,5.45877722158046,5.6884057522247,1,0,1
"109",109,56,0,4,8,21.08,1200,113,0,0,0,"1200",4,4,0,8,8,0,0,1
"110",110,865,0,5,9,20.83,1200,811,0,0,0,"1200",5,5,0,9,9,0,0,1
"111",111,-29,0,3,1,4.16,1200,-99,0,0,0,"1200",3,3,0,1,1,0,0,1
"112",112,13,0,NA,NA,3.5,1300,NA,NA,0,NA,"1300",4.04604840436924,3.57776419524554,1,5.45877722158046,4.5906136800681,1,0,0
"113",113,218,0,2,4,9.41,1200,8,1,0,0,"1200",2,2,0,4,4,0,0,1
"114",114,94,0,NA,NA,7.58,1200,NA,NA,0,NA,"1200",4.04604840436924,3.82359009707617,1,5.45877722158046,5.61324454527317,1,0,1
"115",115,-82,0,7,1,1.91,1200,-58,0,0,0,"1200",7,7,0,1,1,0,0,1
"116",116,-134,0,3,1,3.75,1200,NA,NA,0,NA,"1200",3,3,0,1,1,0,0,1
"117",117,-2,0,5,7,4.58,1200,-2,0,0,0,"1200",5,5,0,7,7,0,0,1
"118",118,-3,0,3,2,6.41,1300,8,0,0,0,"1300",3,3,0,2,2,0,0,0
"119",119,-45,0,3,6,7.5,1200,-5,0,0,0,"1200",3,3,0,6,6,0,0,1
"120",120,-191,1,2,7,4.41,1200,-74,1,1,1,"1200",2,2,0,7,7,0,0,1
"121",121,66,0,5,6,6.75,1200,53,0,0,0,"1200",5,5,0,6,6,0,0,1
"122",122,47,0,NA,NA,8.16,1200,136,0,0,0,"1200",4.04604840436924,3.86977051839619,1,5.45877722158046,5.62182594291724,1,0,1
"123",123,10,0,NA,NA,6.5,1200,180,0,0,0,"1200",4.04604840436924,3.73759896772166,1,5.45877722158046,5.59726539103938,1,0,1
"124",124,0,0,NA,NA,5.41,1200,-21,0,0,0,"1200",4.04604840436924,3.65081162420646,1,5.45877722158046,5.5811382816738,1,0,1
"125",125,396,0,6,7,41.16,1200,450,0,0,0,"1200",6,6,0,7,7,0,0,1
"126",126,53,0,1,2,13.91,1200,75,0,0,0,"1200",1,1,0,2,2,0,0,1
"127",127,96,0,3,6,2.75,1200,124,0,0,0,"1200",3,3,0,6,6,0,0,1
"128",128,-25,0,4,9,14.25,1200,-19,0,0,0,"1200",4,4,0,9,9,0,0,1
"129",129,-27,1,3,3,1.91,1200,-29,1,0,0,"1200",3,3,0,3,3,0,0,1
"130",130,301,0,4,7,17.5,1200,378,0,0,0,"1200",4,4,0,7,7,0,0,1
"131",131,475,0,7,4,37.41,1300,397,0,0,0,"1300",7,7,0,4,4,0,0,0
"132",132,-7,0,NA,NA,3.16,1200,NA,NA,0,NA,"1200",4.04604840436924,3.47166343805123,1,5.45877722158046,5.54784837702007,1,0,1
"133",133,121,0,4,4,22.25,1100,34,0,0,0,"1100",4,4,0,4,4,0,1,0
"134",134,175,0,NA,NA,5.33,1300,NA,NA,0,NA,"1300",4.04604840436924,3.7234713866518,1,5.45877722158046,4.61768946918646,1,0,0
"135",135,32,0,4,6,9.25,1200,268,1,0,0,"1200",4,4,0,6,6,0,0,1
"136",136,-6,0,3,6,4.5,1200,-32,0,0,0,"1200",3,3,0,6,6,0,0,1
"137",137,110,0,NA,NA,6.08,1200,NA,NA,0,NA,"1200",4.04604840436924,3.70415797297269,1,5.45877722158046,5.59105127550402,1,0,1
"138",138,-54,0,4,6,4.08,1200,38,0,0,0,"1200",4,4,0,6,6,0,0,1
"139",139,-118,0,2,6,10.08,1200,-114,0,0,0,"1200",2,2,0,6,6,0,0,1
"140",140,13,0,2,NA,1.33,1200,NA,NA,0,NA,"1200",2,2,0,5.45877722158046,5.52077258790171,1,0,1
"141",141,284,1,3,6,8.91,1200,196,1,0,0,"1200",3,3,0,6,6,0,0,1
"142",142,79,0,3,8,5.91,1300,NA,NA,0,NA,"1300",3,3,0,8,8,0,0,0
"143",143,-20,0,NA,NA,1.5,1300,NA,NA,0,NA,"1300",4.04604840436924,3.41852136310755,1,5.45877722158046,4.56102265370923,1,0,0
"144",144,-91,0,NA,NA,3,1200,-112,0,0,0,"1200",4.04604840436924,3.45892401148019,1,5.45877722158046,5.54548109491136,1,0,1
"145",145,52,0,NA,NA,8.25,1200,51,0,0,0,"1200",4.04604840436924,3.8769364458424,1,5.45877722158046,5.62315753910339,1,0,1
"146",146,198,0,NA,NA,10.16,1200,88,0,0,0,"1200",4.04604840436924,4.02901335053417,1,5.45877722158046,5.65141696927611,1,0,1
"147",147,565,1,2,9,3.66,1200,1198,1,0,0,"1200",2,2,0,9,9,0,0,1
"148",148,23,0,5,6,26.75,1200,167,0,0,0,"1200",5,5,0,6,6,0,0,1
"149",149,-60,0,3,7,5.91,1200,-60,0,0,0,"1200",3,3,0,7,7,0,0,1
"150",150,-33,0,NA,NA,11.58,1300,-34,0,0,0,"1300",4.04604840436924,4.221105237083,1,5.45877722158046,4.71016142655793,1,0,0
"151",151,-9,0,NA,NA,1,1200,NA,NA,0,NA,"1200",4.04604840436924,3.2996811793422,1,5.45877722158046,5.51589006855249,1,0,1
"152",152,-19,0,NA,NA,4.41,1200,NA,NA,0,NA,"1200",4.04604840436924,3.57119020813747,1,5.45877722158046,5.56634276849436,1,0,1
"153",153,439,0,6,3,25.83,1200,640,0,0,0,"1200",6,6,0,3,3,0,0,1
"154",154,167,0,6,6,30.08,1200,238,0,0,0,"1200",6,6,0,6,6,0,0,1
"155",155,-63,0,6,3,2.16,1200,-64,0,0,0,"1200",6,6,0,3,3,0,0,1
"156",156,-25,0,6,6,5.41,1200,-29,0,0,0,"1200",6,6,0,6,6,0,0,1
"157",157,338,0,NA,NA,6.16,1200,NA,NA,0,NA,"1200",4.04604840436924,3.7105276862582,1,5.45877722158046,5.59223491655837,1,0,1
"158",158,78,0,4,6,7,1200,109,0,0,0,"1200",4,4,0,6,6,0,0,1
"159",159,459,0,2,5,4,1300,394,0,0,0,"1300",2,2,0,5,5,0,0,0
"160",160,-52,0,NA,NA,11.25,1300,-69,0,0,0,"1300",4.04604840436924,4.19483016978023,1,5.45877722158046,4.70527890720871,1,0,0
"161",161,136,0,NA,NA,2.75,1200,-28,1,0,0,"1200",4.04604840436924,3.43901865746294,1,5.45877722158046,5.5417822166165,1,0,1
"162",162,16,0,3,7,7.08,1200,NA,NA,0,NA,"1200",3,3,0,7,7,0,0,1
"163",163,-68,0,NA,7,9.08,1200,-36,1,0,0,"1200",4.04604840436924,3.94302222117966,1,7,7,0,0,1
"164",164,441,0,NA,NA,7.91,1200,NA,NA,0,NA,"1200",4.04604840436924,3.84986516437894,1,5.45877722158046,5.61812706462239,1,0,1
"165",165,263,0,7,6,14.33,1200,119,0,0,0,"1200",7,7,0,6,6,0,0,1
"166",166,-59,0,5,5,3.58,1200,-55,0,0,0,"1200",5,5,0,5,5,0,0,1
"167",167,69,0,3,5,1,1200,28,0,0,0,"1200",3,3,0,5,5,0,0,1
"168",168,-25,0,3,8,4.25,1200,-26,0,0,0,"1200",3,3,0,8,8,0,0,1
"169",169,639,0,4,9,15.41,1200,221,1,0,0,"1200",4,4,0,9,9,0,0,1
"170",170,896,0,3,6,13.58,1200,678,0,0,0,"1200",3,3,0,6,6,0,0,1
"171",171,-58,0,NA,NA,3.66,1200,NA,NA,0,NA,"1200",4.04604840436924,3.51147414608572,1,5.45877722158046,5.55524613360979,1,0,1
"172",172,642,0,2,6,5.16,1200,379,1,0,1,"1200",2,2,0,6,6,0,0,1
"173",173,-37,0,5,1,20.41,1100,129,0,0,0,"1100",5,5,0,1,1,0,1,0
"174",174,-28,0,NA,NA,3.75,1200,NA,NA,0,NA,"1200",4.04604840436924,3.51864007353193,1,5.45877722158046,5.55657772979594,1,0,1
"175",175,136,0,NA,NA,29.25,1100,NA,NA,0,NA,"1100",4.04604840436924,5.86121655462885,1,5.45877722158046,4.43616632142694,1,1,0
"176",176,49,0,4,1,5.08,1300,162,0,0,0,"1300",4,4,0,1,1,0,0,0
"177",177,10,0,NA,NA,0.16,1200,NA,NA,0,NA,"1200",4.04604840436924,3.23279918984425,1,5.45877722158046,5.50346183748177,1,0,1
"178",178,-120,1,NA,NA,13.83,1200,75,1,0,0,"1200",4.04604840436924,3.66667438109065,1,5.45877722158046,6.15725168539593,1,0,1
"179",179,-80,0,NA,2,7.08,1200,-62,0,0,0,"1200",4.04604840436924,3.78377938904168,1,2,2,0,0,1
"180",180,498,1,7,3,26.41,1200,365,1,0,0,"1200",7,7,0,3,3,0,0,1
"181",181,402,0,3,6,0.75,1200,394,0,0,0,"1200",3,3,0,6,6,0,0,1
"182",182,439,0,5,5,3.75,1200,NA,NA,0,NA,"1200",5,5,0,5,5,0,0,1
"183",183,308,0,7,3,2.33,1200,205,0,0,0,"1200",7,7,0,3,3,0,0,1
"184",184,0,0,5,5,10.5,1200,-30,0,0,0,"1200",5,5,0,5,5,0,0,1
"185",185,-19,1,3,7,1.41,1200,-83,1,0,0,"1200",3,3,0,7,7,0,0,1
"186",186,283,1,NA,NA,19.5,1200,403,1,0,0,"1200",4.04604840436924,4.11812781020184,1,5.45877722158046,6.24114224512332,1,0,1
"187",187,92,0,2,7,10.08,1200,88,0,0,0,"1200",2,2,0,7,7,0,0,1
"188",188,14,0,4,5,21.41,1200,38,0,0,0,"1200",4,4,0,5,5,0,0,1
